symbol,strategy,direction,win_rate,signal_date,status,expiration,target_type,atr,entry_price,target_price,stop_price,last_close_price,diff_from_entry,entry_date,exit_date,num_days_open,timeframe,scan_date,ttm_squeeze_d.momentum,ttm_squeeze_d.momentum_prev,bb_30_20_d.upper,atr_5_d.value,swing_trend_w.color,swing_trend_w.color_prev,atr_5_w.value,trig_20_8_w.plot1,trig_20_8_w.plot2,sma_40_w.value,rsqueeze_atr14_w.momentum,rsqueeze_atr14_w.momentum_prev,supertrend_5_023_w.direction,donchian_14_d.mean,sma_40_d.value,donchian_14_d.mean_prev,trig_20_8_d.plot1,trig_20_8_d.plot2,rsqueeze_4_d.momentum,rsqueeze_20_d.momentum,cci_14_6_w.cci_short,cci_14_6_w.cci_long
USO,ETF Squeeze Sell,sell,86%,2026-01-22,Open,03/20/26,ATR5 x 1.0,1.8394,73.76,71.92,n/a,80.85,-7.09,2026-01-23,,open,daily,2026-01-22,1.6753,1.7384,73.4941,1.8394,,,,,,,,,,,,,,,,,,
VNQ,ETF Squeeze Sell,sell,88%,2026-01-22,Open,03/20/26,ATR5 x 1.0,1.2585,90.22,88.96,n/a,94.88,-4.66,2026-01-23,,open,daily,2026-01-22,1.5425,1.7187,91.5851,1.2585,,,,,,,,,,,,,,,,,,
XOP,Weekly 10.5 Squeeze Buy,buy,100%,2026-01-22,Target Hit,03/20/26,Weekly ATR5 x 0.55,6.6146,136.7,140.34,n/a,151.86,15.16,2026-01-23,2026-01-29,4,weekly,2026-01-22,,,,,,,6.6146,,,127.2792,-1.9252,-2.4949,-1.0,,,,,,,,,
EWG,Weekly Swing Trend Buy Setup 1,buy,78%,2026-01-22,Target Hit,03/20/26,Weekly ATR5 x 0.55,0.9033,43.09,43.59,n/a,44.32,1.23,2026-01-23,2026-01-26,1,weekly,2026-01-22,,,,,gold,gold,0.9033,,,,,,,,,,,,,,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-01-22,Target Hit,03/20/26,Weekly ATR5 x 0.55,17.0159,619.73,629.09,n/a,608.81,-10.92,2026-01-23,2026-01-27,2,weekly,2026-01-22,,,,,gold,red,17.0159,,,,,,,,,,,,,,,
USO,Weekly Swing Trend Buy Setup 1,buy,76%,2026-01-22,Target Hit,03/20/26,Weekly ATR5 x 0.55,3.6174,73.76,75.75,n/a,80.85,7.09,2026-01-23,2026-01-28,3,weekly,2026-01-22,,,,,gold,gold,3.6174,,,,,,,,,,,,,,,
XHB,Weekly Swing Trend Buy Setup 1,buy,93%,2026-01-22,Target Hit,03/20/26,Weekly ATR5 x 0.55,5.128,113.2,116.02,n/a,118.91,5.71,2026-01-23,2026-02-04,8,weekly,2026-01-22,,,,,gold,gold,5.128,,,,,,,,,,,,,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-01-22,Target Hit,03/20/26,Weekly ATR5 x 0.55,1.343,49.46,50.2,n/a,52.96,3.5,2026-01-23,2026-01-26,1,weekly,2026-01-22,,,,,gold,gold,1.343,,,,,,,,,,,,,,,
XLK,Weekly Swing Trend Buy Setup 1,buy,86%,2026-01-22,Target Hit,03/20/26,Weekly ATR5 x 0.55,4.8248,144.53,147.18,n/a,140.88,-3.65,2026-01-23,2026-01-27,2,weekly,2026-01-22,,,,,gold,gold,4.8248,,,,,,,,,,,,,,,
VWO,Weekly Swing Trend Buy Setup 2,buy,89%,2026-01-22,Target Hit,03/20/26,Weekly ATR5 x 0.55,1.1943,56.42,57.08,n/a,58.53,2.11,2026-01-23,2026-01-26,1,weekly,2026-01-22,,,,,,,1.1943,54.9931,54.8925,51.414,,,,,,,,,,,,
XHB,Weekly Swing Trend Buy Setup 2,buy,93%,2026-01-22,Target Hit,03/20/26,Weekly ATR5 x 0.55,5.128,113.2,116.02,n/a,118.91,5.71,2026-01-23,2026-02-04,8,weekly,2026-01-22,,,,,,,5.128,106.0399,105.7055,104.9545,,,,,,,,,,,,
XOP,Donchian Crossover Buy,buy,82%,2026-01-23,Target Hit,03/20/26,ATR5 x 1.0,3.42,136.34,139.77,n/a,151.86,15.52,2026-01-26,2026-01-29,3,daily,2026-01-23,,,135.4424,3.42,,,,,,,,,,130.715,130.1065,,,,,,,
XOP,Donchian Hook Buy,buy,90%,2026-01-23,Target Hit,03/20/26,ATR5 x 1.0,3.42,136.34,139.77,n/a,151.86,15.52,2026-01-26,2026-01-29,3,daily,2026-01-23,,,,3.42,,,,,,,,,,130.715,130.1065,129.66,,,,,,
XHB,ETF Squeeze Sell,sell,86%,2026-01-23,Target Hit,03/20/26,ATR5 x 1.0,2.8895,112.01,109.12,n/a,118.91,-6.9,2026-01-26,2026-01-29,3,daily,2026-01-23,5.8499,6.2419,116.6951,2.8895,,,,,,,,,,,,,,,,,,
XLI,ETF Squeeze Sell,sell,88%,2026-01-23,Open,03/20/26,ATR5 x 1.0,2.2801,164.22,161.94,n/a,177.23,-13.01,2026-01-26,,open,daily,2026-01-23,5.1141,5.3207,167.5971,2.2801,,,,,,,,,,,,,,,,,,
XRT,ETF Squeeze Sell,sell,84%,2026-01-23,Target Hit,03/20/26,ATR5 x 1.0,1.7712,88.89,87.12,n/a,88.66,0.23,2026-01-26,2026-01-28,2,daily,2026-01-23,1.9565,2.155,91.3293,1.7712,,,,,,,,,,,,,,,,,,
UNG,Weekly 10.5 Squeeze Buy,buy,76%,2026-01-23,Target Hit,03/20/26,Weekly ATR5 x 0.55,2.1254,14.26,15.43,n/a,12.01,-2.25,2026-01-26,2026-01-30,4,weekly,2026-01-23,,,,,,,2.1254,,,14.1735,-0.6496,-0.9192,-1.0,,,,,,,,,
FXI,Weekly Swing Trend Buy Setup 1,buy,68%,2026-01-23,Target Hit,03/20/26,Weekly ATR5 x 0.55,1.2707,39.32,40.02,n/a,38.81,-0.51,2026-01-26,2026-01-28,2,weekly,2026-01-23,,,,,gold,red,1.2707,,,,,,,,,,,,,,,
IYR,Weekly Swing Trend Buy Setup 2,buy,89%,2026-01-23,Target Hit,03/20/26,Weekly ATR5 x 0.55,2.617,96.29,97.73,n/a,100.54,4.25,2026-01-26,2026-02-06,9,weekly,2026-01-23,,,,,,,2.617,94.9229,94.9066,95.4895,,,,,,,,,,,,
USO,Weekly Swing Trend Buy Setup 2,buy,76%,2026-01-23,Target Hit,03/20/26,Weekly ATR5 x 0.55,3.4499,73.36,75.26,n/a,80.85,7.49,2026-01-26,2026-01-27,1,weekly,2026-01-23,,,,,,,3.4499,69.8203,69.5531,72.102,,,,,,,,,,,,
XOP,Weekly Swing Trend Buy Setup 2,buy,83%,2026-01-23,Target Hit,03/20/26,Weekly ATR5 x 0.55,7.1247,136.34,140.26,n/a,151.86,15.52,2026-01-26,2026-01-29,3,weekly,2026-01-23,,,,,,,7.1247,130.1341,129.9926,127.8615,,,,,,,,,,,,
UNG,Donchian Hook Buy,buy,74%,2026-01-26,Target Hit,03/20/26,ATR5 x 1.0,1.0198,14.42,15.44,n/a,12.01,-2.41,2026-01-27,2026-01-30,3,daily,2026-01-26,,,,1.0198,,,,,,,,,,12.57,12.893,12.16,,,,,,
EWG,Donchian T-Lines Buy,buy,89%,2026-01-26,Target Hit,03/20/26,ATR5 x 1.0,0.461,44.03,44.49,n/a,44.32,0.29,2026-01-27,2026-02-12,12,daily,2026-01-26,,,,0.461,,,,,,,,,,43.0578,42.383,,43.5049,43.4461,,,,
QQQ,Donchian T-Lines Buy,buy,92%,2026-01-26,Open,03/20/26,ATR5 x 1.0,8.0442,628.91,636.95,n/a,608.81,-20.1,2026-01-27,,open,daily,2026-01-26,,,,8.0442,,,,,,,,,,618.525,619.7082,,621.134,621.1273,,,,
IWM,ETF Squeeze Sell,sell,87%,2026-01-26,Target Hit,03/20/26,ATR5 x 1.0,4.0402,264.05,260.01,n/a,264.61,-0.56,2026-01-27,2026-01-29,2,daily,2026-01-26,10.1996,10.4664,270.0979,4.0402,,,,,,,,,,,,,,,,,,
XME,ETF Squeeze Sell,sell,86%,2026-01-26,Target Hit,03/20/26,ATR5 x 1.0,4.6732,125.61,120.94,n/a,117.46,8.15,2026-01-27,2026-01-30,3,daily,2026-01-26,12.9396,13.3904,132.8635,4.6732,,,,,,,,,,,,,,,,,,
QQQ,Weekly Swing Trend Buy Setup 1,buy,85%,2026-01-26,Open,03/20/26,Weekly ATR5 x 0.55,17.2827,628.91,638.42,n/a,608.81,-20.1,2026-01-27,,open,weekly,2026-01-26,,,,,gold,gold,17.2827,,,,,,,,,,,,,,,
USO,Weekly Swing Trend Buy Setup 1,buy,76%,2026-01-26,Target Hit,03/20/26,Weekly ATR5 x 0.55,3.4499,73.95,75.85,n/a,80.85,6.9,2026-01-27,2026-01-28,1,weekly,2026-01-26,,,,,gold,gold,3.4499,,,,,,,,,,,,,,,
XHB,Weekly Swing Trend Buy Setup 1,buy,93%,2026-01-26,Target Hit,03/20/26,Weekly ATR5 x 0.55,5.1444,111.27,114.1,n/a,118.91,7.64,2026-01-27,2026-02-03,5,weekly,2026-01-26,,,,,gold,gold,5.1444,,,,,,,,,,,,,,,
XLB,Weekly Swing Trend Buy Setup 1,buy,84%,2026-01-26,Target Hit,03/20/26,Weekly ATR5 x 0.55,1.4684,49.87,50.67,n/a,52.96,3.09,2026-01-27,2026-02-03,5,weekly,2026-01-26,,,,,gold,gold,1.4684,,,,,,,,,,,,,,,
XLK,Weekly Swing Trend Buy Setup 1,buy,86%,2026-01-26,Open,03/20/26,Weekly ATR5 x 0.55,4.7028,147.42,150.01,n/a,140.88,-6.54,2026-01-27,,open,weekly,2026-01-26,,,,,gold,gold,4.7028,,,,,,,,,,,,,,,
